,UnitId,DriverId,Time,Tag,Vin,Lat,Lon,Address,GpsQuality,Heading,SerialNumber,EventIndex,EventCode,FirmwareVersion,Hdop,Vdop,Pdop,NumSatellites,UnitType,OdometerDelta,EngineTimeDelta,AbsEvent,AbsIndicator,AcceleratorPosition,AccelViolationsCount,AdaptiveCruiseEngaged,AirbagDeployed,AirbagLight,AirBrakeEngaged,Altitude,AmbientAirTemp,BrakeIndicator,BrakePedalSwitch,CabinTemperature,Coasting,CoastingTime,CollisionDeceleration,CruiseControlActive,CruiseControlSetSpeed,CurrentGear,DecelViolationsCount,EngineOverspeed,EngineSpeed,EngineTorque,FuelRate,FuelRemaining,HarshAcceleration,HarshBraking,HighEngineTemp,HighWindSpeed,LoadPercent,LostExternalPower,LowBrakeFluid,LowEngineOilPressure,LowFuelLevel,LowTirePressure,MaxAccel,MaxDecel,MilStatus,OBDII_DTC,Panic,Raining,SeatBeltFastened,SeatbeltIndicator,SimCardRemoved,Speed,SpeedingOverMax,SpinOutEvent,StabilityControlEngaged,TotalFuelUsed,TotalHighGearTime,TractionControlEngaged,TrailerCoupled,TripCruiseControlTime,TripDistance,TripDrivingWithoutSeatbeltTime,TripDuration,TripFuelUsed,TripFuelUsed2,TripFullThrottleTime,TripHighGearTime,TripHighRpmTime,TripMaxSpeed,TripOptimalRpmTime,TripSpeedingTime,WindSpeedAlarmCount,WindSpeedPreAlarmCount,YawRate
10,214851561,541275758,5/5/2014 10:53,11176,1FTFW1EF9BKD76683,31.69568862,-102.2753167,US|79766|Texas|Odessa|W Fm-1787 [Fm-1787],Excellent,77,9CAN8M4AK,,,,,,,,M,5.6 km,0:03:00,,,0,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,"OBDII U0154-00,OBDII U3003-16",,,,FALSE,,65.5944285298424 mph,,,,,,,,,,,,,,,,,,,,,,
11,529314054,459799928,5/5/2014 10:52,14090,1FT7X2B65DEB58415,31.41134762,-100.5010031,US|76904|Texas|San Angelo|Southwest Blvd,Excellent,18,9CAN5WV1N,,,,,,,,M,1.6 km,0:03:00,,,16,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,42.5788395720029 mph,,,,,,,,,,,,,,,,,,,,,,
12,216794143,447370952,5/5/2014 10:53,10371,1FT7X2BT5BEA35295,32.35651656,-101.875685,US|79783|Texas|Tarzan|State Highway 137 [Tx-137],Excellent,164,4332098580,,,,,,,,L,3.5 km,0:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5944285298424 mph,,,,,,,,,,,,,,,,,,,,,,
13,304484046,427403614,5/5/2014 10:53,12114,1FT7X2B62CEA89083,31.98094156,-101.7563132,US|79782|Texas|Stanton|State Highway 137 [Tx-137/Rr-1800],Excellent,165,9CAN6CVCK,,,,,,,,M,5.9 km,0:03:00,,,0,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,72.4991052171942 mph,,,,,,,,,,,,,,,,,,,,,,
14,216796719,482069860,5/5/2014 10:52,11522,1FTFX1EV9AKE17607,31.99235302,-102.0366578,US|79706|Texas|Midland|Fm-307,Excellent,270,9CANCLDAJ,,,,,,,,M,0 km,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mph,,,,,,,,,,,,,,,,,,,,,,
15,214851613,429121388,5/5/2014 10:53,11520,1FTFW1EF5BKD76695,32.67102168,-97.3200412,US|76115|Texas|Fort Worth|,Excellent,352,9CANCMI1L,,,,,,,,M,5 km,0:03:00,,,0,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,58.6897518424905 mph,,,,,,,,,,,,,,,,,,,,,,
16,558996706,558379016,5/5/2014 10:53,14172,1FT7X2B68EEA67673,31.84229951,-102.4149418,US|79763|Texas|Odessa|W 14th St,Unreliable,0,9CAN9P68L,,,,,,,,M,0 km,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mph,,,,,,,,,,,,,,,,,,,,,,
17,558996706,558379016,5/5/2014 10:53,14172,1FT7X2B68EEA67673,31.84229951,-102.4149418,US|79763|Texas|Odessa|W 14th St,Unreliable,0,9CAN9P68L,,,,,,,,M,0 km,0:00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,0 mph,,,,,,,,,,,,,,,,,,,,,,
18,558996706,558379016,5/5/2014 10:53,14172,1FT7X2B68EEA67673,31.84229951,-102.4149418,US|79763|Texas|Odessa|W 14th St,Unreliable,0,9CAN9P68L,,,,,,,,M,0 km,0:00:00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,0 mph,,,,,,,,,,,,,,,,,,,,,,
19,541302894,0,5/5/2014 10:52,14150,1FTFW1EF3DKF98557,31.87841143,-101.812586,US|79706|Texas|Midland|Fm-1379,Excellent,164,9CAN7VU5N,,,,,,,,M,5.2 km,0:03:00,,,0,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,FALSE,,67.8959874256263 mph,,,,,,,,,,,,,,,,,,,,,,
